#F Crystals_xrayserver.dat
#UT Crystals_xrayserver: Crystal structures with atomic coordinates in unit cell and cell dimensions
#UIDL xfh
#UD
#UD  This file contains the list of crystals available Sergey Stepanov's X-Ray Server
#UD  https://x-server.gmca.aps.anl.gov/
#UD S. Stepanov, "X-ray server: an online resource for simulations of X-ray diffraction and scattering".
#UD In: "Advances in Computational Methods for X-ray and Neutron Optics", Ed. M.Sanches del Rio; Proceedings SPIE, v.5536, p.16-26, (2004).
#UD
#UD The crystal structures are arranged using as a scan
#UD identifier (#S) the atomic number of the heavier atom
#UD present in the crystal. Several crystal are possible with
#UD the same scan id, but they do not conflict.
#UD  
#UD The following keyword contain other information:
#UD #UCOMMENT  comment 
#UD #UCELL a b c alpha beta gamma  
#UD        The unit cell dimensions (A and deg) (*MANDATORY, IT MUST EXIST*)
#UD
#UD  
#UD  Data columns:  
#UD  AtomicNumber  Fraction  X  Y  Z Biso
#UD  
#UD
#UD  This file has been created with the python code that can be found at: 
#UD     https://github.com/91902078/yb66/tree/main/yb66/stepanov
#UD
    
#S 15 ADP
#UCELL 7.53  7.53  7.542  90  90  90
#UCOMMENT: data URL: https://x-server.gmca.aps.anl.gov/cgi/x0h_dump.pl?code=ADP
#UCOMMENT ;
#UCOMMENT ;
#UCOMMENT ;=====================================================
#UCOMMENT ; ADP = Ammonium Dihydrogen Phosphate (NH4H2PO4)
#UCOMMENT ; Space group: #122, I-42d,  Density: 1.80 g/cm3 (Wikipedia)
#UCOMMENT ;--------------------------------------------------------------------------
#UCOMMENT ; Source: http://rruff.geo.arizona.edu/AMS
#UCOMMENT ; A.A.Khan, W.H.Baur "Refinement of the crystal structures of ammonium
#UCOMMENT ; dihydrogen phosphate and ammonium dihydrogen arsenate",
#UCOMMENT ; Acta Crystallographica B29 (1973) 2721-2726
#UCOMMENT ;
#UCOMMENT ; Database_code_amcsd 0009493
#UCOMMENT ; 7.4997 7.4997 7.5494 90 90 90 I-42d
#UCOMMENT ; atom     x     y     z occ Biso B(1,1) B(2,2) B(3,3) B(1,2) B(1,3) B(2,3)
#UCOMMENT ; P        0     0     0           .0055  .0055  .0084      0      0      0
#UCOMMENT ; N        0     0    .5           .0110  .0110  .0088      0      0      0
#UCOMMENT ; O    .0843 .1466 .1151           .0075  .0083  .0118  .0013 -.0022 -.0037
#UCOMMENT ; H(n) -.002  .089  .563      2.8
#UCOMMENT ; H(o)   .25  .150  .125  .5    5
#UCOMMENT ; Submitted by Elisa Buffagni, CNR
#UCOMMENT ;--------------------------------------------------------------------------
#N  5
#L  AtomicNumber  Fraction  X  Y  Z
15  1    0.0000   0.0000   0.0000
15  1    0.5000   0.0000   0.7500
15  1    0.5000   0.5000   0.5000
15  1    0.0000   0.5000   0.2500
7  1    0.0000   0.0000   0.5000
7  1    0.5000   0.0000   0.2500
7  1    0.5000   0.5000   0.0000
7  1    0.0000   0.5000   0.7500
8  1    0.0843   0.1466   0.1151
8  1    0.9157   0.8534   0.1151
8  1    0.1466   0.9157   0.8849
8  1    0.8534   0.0843   0.8849
8  1    0.4157   0.1466   0.6349
8  1    0.5843   0.8534   0.6349
8  1    0.3534   0.9157   0.8651
8  1    0.6466   0.0843   0.8651
8  1    0.5843   0.6466   0.6151
8  1    0.4157   0.3534   0.6151
8  1    0.6466   0.4157   0.3849
8  1    0.3534   0.5843   0.3849
8  1    0.9157   0.6466   0.1349
8  1    0.0843   0.3534   0.1349
8  1    0.8534   0.4157   0.3651
8  1    0.1466   0.5843   0.3651
1  1    0.9980   0.0890   0.5630
1  1    0.0020   0.9110   0.5630
1  1    0.0890   0.0020   0.4370
1  1    0.9110   0.9980   0.4370
1  1    0.5020   0.0890   0.1870
1  1    0.4980   0.9110   0.1870
1  1    0.4110   0.0020   0.3130
1  1    0.5890   0.9980   0.3130
1  1    0.4980   0.5890   0.0630
1  1    0.5020   0.4110   0.0630
1  1    0.5890   0.5020   0.9370
1  1    0.4110   0.4980   0.9370
1  1    0.0020   0.5890   0.6870
1  1    0.9980   0.4110   0.6870
1  1    0.9110   0.5020   0.8130
1  1    0.0890   0.4980   0.8130
1  0.5    0.2500   0.1500   0.1250
1  0.5    0.7500   0.8500   0.1250
1  0.5    0.1500   0.7500   0.8750
1  0.5    0.8500   0.2500   0.8750
1  0.5    0.2500   0.1500   0.6250
1  0.5    0.7500   0.8500   0.6250
1  0.5    0.3500   0.7500   0.8750
1  0.5    0.6500   0.2500   0.8750
1  0.5    0.7500   0.6500   0.6250
1  0.5    0.2500   0.3500   0.6250
1  0.5    0.6500   0.2500   0.3750
1  0.5    0.3500   0.7500   0.3750
1  0.5    0.7500   0.6500   0.1250
1  0.5    0.2500   0.3500   0.1250
1  0.5    0.8500   0.2500   0.3750
1  0.5    0.1500   0.7500   0.3750

#S 13 AlAs
#UCELL 5.6618  5.6618  5.6618  90  90  90
#UCOMMENT: data URL: https://x-server.gmca.aps.anl.gov/cgi/x0h_dump.pl?code=AlAs
#UCOMMENT ;
#UCOMMENT ;
#UCOMMENT ;=====================================================
#UCOMMENT ; AlAs -- structure type: ZincBlende, Space Group F-43m, No.216
#UCOMMENT ; ----
#N  5
#L  AtomicNumber  Fraction  X  Y  Z
13  1   0.00,   0.00,   0.00
13  1   0.00,   0.50,   0.50
13  1   0.50,   0.00,   0.50
